real12,pred12,real3,pred3
88.953,94.67296,87.825,97.08099
85.643,94.84847,94.376,96.15406
90.26,95.255135,96.298,95.30139
83.221,95.41983,87.372,94.84023
92.514,95.42978,94.738,94.590904
92.704,95.32823,78.634,94.66627
90.553,95.26253,90.333,94.178474
98.376,95.14246,96.789,94.0511
99.015,94.73838,90.112,93.897385
94.911,94.810104,88.953,93.628876
98.023,94.35146,85.643,94.26218
95.768,94.176216,90.26,93.732285
86.903,94.2119,83.221,93.961235
91.579,94.120804,92.514,93.834206
94.653,94.09909,92.704,93.94244
98.143,93.739044,90.553,93.82274
98.946,93.85187,98.376,93.84484
96.113,93.5157,99.015,93.72876
96.148,93.63157,94.911,93.6445
102.297,93.79475,98.023,93.74428
95.964,93.95216,95.768,93.658714
87.56,94.0875,86.903,93.82619
93.857,94.096504,91.579,93.831116
94.027,94.249825,94.653,93.75049
87.873,94.21678,98.143,93.78074
104.482,94.276825,98.946,93.58592
