qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
101001,78001D,2021/7/6,16,85.751,184
101001,78001D,2021/7/6,17,76.375,194
101001,78001D,2021/7/6,18,77.58,195
101001,78001D,2021/7/6,19,73.993,189
101001,78001D,2021/7/6,20,78.009,118
101001,78001D,2021/7/6,21,84.287,87
101001,78001D,2021/7/6,22,88.638,66
101001,78001D,2021/7/6,23,85.342,34
101001,78001D,2021/7/7,0,79.563,26
101001,78001D,2021/7/7,1,98.285,12
101001,78001D,2021/7/7,2,77.371,9
101001,78001D,2021/7/7,3,90.86,9
101001,78001D,2021/7/7,4,87.592,23
101001,78001D,2021/7/7,5,82.003,37
101001,78001D,2021/7/7,6,91.728,91
101001,78001D,2021/7/7,7,86.466,203
101001,78001D,2021/7/7,8,92.233,284
101001,78001D,2021/7/7,9,87.794,290
101001,78001D,2021/7/7,10,88.891,238
101001,78001D,2021/7/7,11,90.381,203
101001,78001D,2021/7/7,12,82.933,190
101001,78001D,2021/7/7,13,88.027,197
101001,78001D,2021/7/7,14,88.441,232
101001,78001D,2021/7/7,15,86.396,206
101001,78001D,2021/7/7,16,85.951,200
101001,78001D,2021/7/7,17,84.054,158
101001,78001D,2021/7/7,18,87.26,209
101001,78001D,2021/7/7,19,87.025,191
101001,78001D,2021/7/7,20,88.838,132
101001,78001D,2021/7/7,21,78.839,85
101001,78001D,2021/7/7,22,83.093,52
101001,78001D,2021/7/7,23,85.367,22
101001,78001D,2021/7/8,0,86.157,24
101001,78001D,2021/7/8,1,89.715,14
101001,78001D,2021/7/8,2,93.346,14
101001,78001D,2021/7/8,3,95.934,8
101001,78001D,2021/7/8,4,80.601,11
101001,78001D,2021/7/8,5,87.683,54
101001,78001D,2021/7/8,6,93.146,101
101001,78001D,2021/7/8,7,97.948,214
101001,78001D,2021/7/8,8,94.233,306
101001,78001D,2021/7/8,9,92.663,251
101001,78001D,2021/7/8,10,91.425,213
101001,78001D,2021/7/8,11,89.252,212
101001,78001D,2021/7/8,12,92.107,188
101001,78001D,2021/7/8,13,92.824,185
101001,78001D,2021/7/8,14,91.012,219
101001,78001D,2021/7/8,15,84.939,190
101001,78001D,2021/7/8,16,79.226,206
101001,78001D,2021/7/8,17,77.812,199
101001,78001D,2021/7/8,18,81.803,242
101001,78001D,2021/7/8,19,91.947,169
