出口站点,日期,小时,分钟,车流量
2002,2021/5/14,6,45,1
2002,2021/5/14,6,55,2
2002,2021/5/14,7,0,1
2002,2021/5/14,7,15,1
2002,2021/5/14,7,25,1
2002,2021/5/14,7,35,2
2002,2021/5/14,7,40,2
2002,2021/5/14,7,45,1
2002,2021/5/14,7,50,1
2002,2021/5/14,8,0,1
2002,2021/5/14,8,10,1
2002,2021/5/14,8,25,1
2002,2021/5/14,8,35,1
2002,2021/5/14,8,40,2
2002,2021/5/14,8,50,1
2002,2021/5/14,9,10,1
2002,2021/5/14,9,25,1
2002,2021/5/14,9,50,1
2002,2021/5/14,9,55,1
2002,2021/5/14,10,0,1
2002,2021/5/14,10,30,1
2002,2021/5/14,11,5,1
2002,2021/5/14,11,10,1
2002,2021/5/14,11,30,2
2002,2021/5/14,11,45,1
2002,2021/5/14,11,55,2
2002,2021/5/14,12,0,1
2002,2021/5/14,12,5,1
2002,2021/5/14,12,25,1
2002,2021/5/14,12,45,1
2002,2021/5/14,13,20,1
2002,2021/5/14,14,5,1
2002,2021/5/14,14,25,1
2002,2021/5/14,14,30,1
2002,2021/5/14,14,40,1
2002,2021/5/14,14,50,2
2002,2021/5/14,15,0,2
2002,2021/5/14,15,45,1
2002,2021/5/14,16,35,1
2002,2021/5/14,17,35,1
2002,2021/5/14,17,40,2
2002,2021/5/14,18,25,1
2002,2021/5/14,18,40,1
2002,2021/5/14,18,55,1
2002,2021/5/14,20,25,1
2002,2021/5/14,20,35,1
2002,2021/5/14,23,0,1
2002,2021/5/14,23,50,1
2002,2021/5/15,3,15,1
2002,2021/5/15,6,40,1
2002,2021/5/15,7,35,2
2002,2021/5/15,7,40,2
2002,2021/5/15,7,45,1
2002,2021/5/15,7,55,2
2002,2021/5/15,8,45,1
2002,2021/5/15,9,25,1
2002,2021/5/15,9,30,1
2002,2021/5/15,9,40,2
2002,2021/5/15,9,50,2
2002,2021/5/15,9,55,1
2002,2021/5/15,10,0,1
2002,2021/5/15,10,5,4
2002,2021/5/15,10,25,1
2002,2021/5/15,10,30,1
2002,2021/5/15,10,35,1
2002,2021/5/15,11,15,2
2002,2021/5/15,11,45,1
2002,2021/5/15,11,55,1
2002,2021/5/15,12,5,1
2002,2021/5/15,12,10,1
2002,2021/5/15,12,15,1
2002,2021/5/15,12,35,1
2002,2021/5/15,12,50,1
2002,2021/5/15,12,55,1
2002,2021/5/15,13,0,1
2002,2021/5/15,13,10,1
2002,2021/5/15,13,45,1
2002,2021/5/15,13,50,1
2002,2021/5/15,13,55,1
2002,2021/5/15,14,0,1
2002,2021/5/15,14,10,1
2002,2021/5/15,14,25,1
2002,2021/5/15,14,55,1
2002,2021/5/15,15,0,2
2002,2021/5/15,15,30,1
2002,2021/5/15,15,40,1
2002,2021/5/15,15,45,1
2002,2021/5/15,16,0,1
2002,2021/5/15,16,20,1
2002,2021/5/15,16,35,1
2002,2021/5/15,16,50,1
2002,2021/5/15,17,0,2
2002,2021/5/15,17,15,1
2002,2021/5/15,17,40,1
2002,2021/5/15,17,55,1
